gene_id	gene_symbol
2875	GPT
84706	GPT2
2876	GPX1
2877	GPX2
2878	GPX3
2879	GPX4
2880	GPX5
257202	GPX6
2882	GPX7
493869	GPX8
2890	GRIA1
2891	GRIA2
2892	GRIA3
2893	GRIA4
2894	GRID1
2895	GRID2
2897	GRIK1
2898	GRIK2
2899	GRIK3
2900	GRIK4
2901	GRIK5
2902	GRIN1
2903	GRIN2A
2904	GRIN2B
2905	GRIN2C
2906	GRIN2D
116443	GRIN3A
116444	GRIN3B
2907	GRINA
2911	GRM1
2912	GRM2
2913	GRM3
2914	GRM4
2917	GRM7
2918	GRM8
2936	GSR
2937	GSS
2938	GSTA1
2939	GSTA2
2940	GSTA3
2941	GSTA4
221357	GSTA5
373156	GSTK1
2944	GSTM1
2946	GSTM2
2947	GSTM3
2948	GSTM4
2949	GSTM5
9446	GSTO1
119391	GSTO2
2950	GSTP1
2952	GSTT1
2953	GSTT2
2954	GSTZ1
3029	HAGH
9734	HDAC9
3098	HK1
256158	HMCN2
3269	HRH1
59340	HRH4
3292	HSD17B1
3320	HSP90AA1
3350	HTR1A
3351	HTR1B
3352	HTR1D
3356	HTR2A
3357	HTR2B
3358	HTR2C
3362	HTR6
3363	HTR7
3376	IARS
3620	IDO1
3456	IFNB1
3553	IL1B
3776	KCNK2
8942	KYNU
3934	LCN2
3957	LGALS2
3963	LGALS7
51557	LGSN
11019	LIAS
51601	LIPT1
728528	LOC728528
4056	LTC4S
4128	MAOA
4129	MAOB
4143	MAT1A
4144	MAT2A
27430	MAT2B
4255	MGMT
4257	MGST1
4258	MGST2
4259	MGST3
166785	MMAA
326625	MMAB
25974	MMACHC
4318	MMP9
4543	MTNR1A
4552	MTRR
4594	MUT
55191	NADSYN1
162417	NAGS
9054	NFS1
8843	NIACR2
4843	NOS2
4846	NOS3
2908	NR3C1
4306	NR3C2
53343	NUDT9
26873	OPLAH
4986	OPRK1
5053	PAH
10606	PAICS
5130	PCYT1A
9468	PCYT1B
5188	PET112L
5198	PFAS
10404	PGCP
27306	PGDS
162466	PHOSPHO1
51268	PIPOX
5337	PLD1
5338	PLD2
122618	PLD4
5443	POMC
5471	PPAT
5501	PPP1CC
5617	PRL
29968	PSAT1
5742	PTGS1
5743	PTGS2
5836	PYGL
5859	QARS
6301	SARS
6336	SCN10A
11280	SCN11A
6323	SCN1A
6331	SCN5A
10993	SDS
6441	SFTPD
166929	SGMS2
6462	SHBG
6470	SHMT1
6472	SHMT2
10280	SIGMAR1
6570	SLC18A1
6571	SLC18A2
6572	SLC18A3
10560	SLC19A2
80704	SLC19A3
6505	SLC1A1
6506	SLC1A2
6507	SLC1A3
6509	SLC1A4
6510	SLC1A5
6511	SLC1A6
6512	SLC1A7
55867	SLC22A11
9376	SLC22A8
8604	SLC25A12
10165	SLC25A13
83733	SLC25A18
79751	SLC25A22
81034	SLC25A32
140679	SLC32A1
206358	SLC36A1
10991	SLC38A3
23446	SLC44A1
57153	SLC44A2
126969	SLC44A3
80736	SLC44A4
113235	SLC46A1
8884	SLC5A6
60482	SLC5A7
6529	SLC6A1
6530	SLC6A2
6531	SLC6A3
6532	SLC6A4
9152	SLC6A5
6535	SLC6A8
6536	SLC6A9
23657	SLC7A11
23428	SLC7A8
11309	SLCO2B1
6622	SNCA
6626	SNRPA
10558	SPTLC1
9517	SPTLC2
6723	SRM
63826	SRR
6750	SST
6822	SULT2A1
6820	SULT2B1
134864	TAAR1
6897	TARS
80222	TARS2
6898	TAT
6947	TCN1
6948	TCN2
7018	TF
7051	TGM1
7052	TGM2
7053	TGM3
7047	TGM4
9333	TGM5
343641	TGM6
116179	TGM7
7054	TH
79896	THNSL1
7166	TPH1
121278	TPH2
27010	TPK1
54210	TREM1
706	TSPO
51060	TXNDC12
7299	TYR
54490	UGT2B28
7422	VEGFA
7453	WARS
10352	WARS2
